Moneyness,Volatility,N,MAE,RMSE,MAPE
ITM,HV5,124724,65.22304789394416,112.78211126686385,9.05059280532413
ITM,HV20,124724,67.72576492198975,112.18608544866525,9.511958799021247
ITM,HV60,124724,73.76639862338504,116.68294114501172,10.256356524843872
ITM,HV100,124724,77.81380562352476,118.65849793192368,10.74750633314448
ITM,GARCH,124724,67.42082784551474,107.31391121463463,9.472070853763972
ITM,EGARCH,124724,65.08765908264608,103.30479652147828,9.049163370575119
ATM,HV5,287285,59.66675880240747,101.9670494652234,42.729176040846326
ATM,HV20,287285,65.24006289814373,98.67833836893209,47.383226222419964
ATM,HV60,287285,70.2498626637537,97.74761308392961,52.557154892878366
ATM,HV100,287285,74.36627201728882,99.5921536780236,54.79452153590022
ATM,GARCH,287285,69.40625445857722,94.36638115966133,53.16094577766249
ATM,EGARCH,287285,65.43062979556774,85.23836686405924,51.288771460213034
OTM,HV5,271509,88.50640827937711,152.55053657385582,518.1907652429248
OTM,HV20,271509,91.82684920315053,137.05770091169214,525.2067606608426
OTM,HV60,271509,90.11009763893931,124.49851595944199,499.8616693120045
OTM,HV100,271509,91.43267483602968,121.96128027266552,508.37124175911316
OTM,GARCH,271509,94.91057273937072,129.99943839328063,528.3390979161214
OTM,EGARCH,271509,87.16340911800441,112.6548533061892,482.2132842349662
