Vol_Regime,Model,N,MAE,RMSE,MAPE
Rendah,ANN,225145,34.5438,51.8474,39.7744
Rendah,BS,225145,31.0714,48.9333,23.4961
Rendah,Bach,225145,32.0614,49.8615,23.8766
Rendah,MCJD,225145,50.4613,61.9575,155.3341
Sedang,ANN,232630,37.9442,60.5460,44.4104
Sedang,BS,232630,33.4531,54.8014,37.9450
Sedang,Bach,232630,32.0438,53.9140,29.9965
Sedang,MCJD,232630,67.2376,80.9930,179.9795
Tinggi,ANN,224472,46.0222,84.7272,71.3554
Tinggi,BS,224472,70.0123,114.7793,162.6910
Tinggi,Bach,224472,64.3861,108.0064,128.7346
Tinggi,MCJD,224472,104.5802,140.8471,310.3737
