Moneyness,Days_to_Exp,Model,N,MAE,RMSE,MAPE
OTM,< 60,ANN,61963,6.9975,11.9165,227.7947
OTM,< 60,BS,61963,11.6665,22.7821,245.5930
OTM,< 60,Bach,61963,10.4007,20.7834,200.2891
OTM,< 60,MCJD,61963,28.8812,37.5738,831.0230
OTM,60-180,ANN,111609,19.3486,32.0550,80.1223
OTM,60-180,BS,111609,33.1114,59.0321,161.8381
OTM,60-180,Bach,111609,29.4357,53.4063,125.1424
OTM,60-180,MCJD,111609,76.5213,92.0928,479.8799
OTM,>= 180,ANN,97132,40.4593,56.1462,38.7970
OTM,>= 180,BS,97132,57.4484,97.4221,96.9884
OTM,>= 180,Bach,97132,50.0530,85.2188,72.7398
OTM,>= 180,MCJD,97132,136.9521,157.4750,263.6607
ATM,< 60,ANN,106023,22.7178,38.2336,38.7598
ATM,< 60,BS,106023,22.2993,38.9728,33.0942
ATM,< 60,Bach,106023,22.0921,38.7150,32.2274
ATM,< 60,MCJD,106023,37.0666,47.4366,78.8576
ATM,60-180,ANN,123893,45.8635,66.3140,19.1651
ATM,60-180,BS,123893,44.1340,67.4966,19.2005
ATM,60-180,Bach,123893,43.9150,67.1585,18.9993
ATM,60-180,MCJD,123893,73.2196,88.0003,39.0716
ATM,>= 180,ANN,57074,71.5058,97.2230,16.0044
ATM,>= 180,BS,57074,68.1525,99.4447,15.6744
ATM,>= 180,Bach,57074,68.6189,99.2395,15.7414
ATM,>= 180,MCJD,57074,101.0043,124.3043,26.7210
ITM,< 60,ANN,32221,50.0102,83.3217,7.9337
ITM,< 60,BS,32221,61.0058,100.7580,9.4051
ITM,< 60,Bach,32221,60.7243,100.4527,9.3584
ITM,< 60,MCJD,32221,55.7815,96.1140,8.5288
ITM,60-180,ANN,45849,60.5742,103.7840,8.4150
ITM,60-180,BS,45849,67.6892,112.2909,9.3012
ITM,60-180,Bach,45849,66.5873,110.8065,9.1755
ITM,60-180,MCJD,45849,61.1598,102.5535,8.9952
ITM,>= 180,ANN,46483,82.8589,121.2088,9.4464
ITM,>= 180,BS,46483,79.6860,118.8775,9.1251
ITM,>= 180,Bach,46483,77.9909,116.9833,8.9672
ITM,>= 180,MCJD,46483,74.8227,107.8668,9.3868
